structure_id,pdb_id,kinase_name,kinase_family,kinase_group,species,conformational_state,dfg_state,alphac_state,ligand_present,resolution,filepath,active_expected_from_DFG_alphaC,contradiction_active_DFG_out,contradiction_active_alphaC_out,inactive_DFG_in,inactive_alphaC_in,state_disagrees_with_joint_motif_rule
1049,3pyy,ABL1,Abl,TK,Human,inactive,out,in,1,1.85,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3pyy.pdb,False,False,False,False,True,False
1063,4wa9,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.2,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4wa9.pdb,False,False,False,False,True,False
1073,2fo0,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.27,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2fo0.pdb,False,False,False,False,True,False
1050,3cs9,ABL1,Abl,TK,Human,inactive,out,in,1,2.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3cs9.pdb,False,False,False,False,True,False
1090,2f4j,ABL1,Abl,TK,Human,active,in,in,1,1.91,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2f4j.pdb,True,False,False,False,False,False
1074,3ue4,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.42,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3ue4.pdb,False,False,False,False,True,False
1075,2g2i,ABL1,Abl,TK,Human,active,in,in,1,3.12,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2g2i.pdb,True,False,False,False,False,False
1065,2e2b,ABL1,Abl,TK,Human,inactive,out,in,1,2.2,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2e2b.pdb,False,False,False,False,True,False
1051,3qri,ABL1,Abl,TK,Human,inactive,out,in,1,2.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3qri.pdb,False,False,False,False,True,False
1091,4twp,ABL1,Abl,TK,Human,active,in,in,1,2.4,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4twp.pdb,True,False,False,False,False,False
1052,2hz0,ABL1,Abl,TK,Human,inactive,out,in,1,2.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hz0.pdb,False,False,False,False,True,False
1083,2hz0,ABL1,Abl,TK,Human,inactive,out,in,1,2.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hz0.pdb,False,False,False,False,True,False
1066,3cs9,ABL1,Abl,TK,Human,inactive,out,in,1,2.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3cs9.pdb,False,False,False,False,True,False
1053,2gqg,ABL1,Abl,TK,Human,active,in,in,1,2.4,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2gqg.pdb,True,False,False,False,False,False
1076,3qri,ABL1,Abl,TK,Human,inactive,out,in,1,2.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3qri.pdb,False,False,False,False,True,False
1107,3cs9,ABL1,Abl,TK,Human,inactive,out,in,1,2.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3cs9.pdb,False,False,False,False,True,False
1095,2hz0,ABL1,Abl,TK,Human,inactive,out,in,1,2.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hz0.pdb,False,False,False,False,True,False
1068,2hyy,ABL1,Abl,TK,Human,inactive,out,in,1,2.4,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hyy.pdb,False,False,False,False,True,False
1054,2e2b,ABL1,Abl,TK,Human,inactive,out,in,1,2.2,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2e2b.pdb,False,False,False,False,True,False
1084,2gqg,ABL1,Abl,TK,Human,active,in,in,1,2.4,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2gqg.pdb,True,False,False,False,False,False
1055,2hzi,ABL1,Abl,TK,Human,inactive,out-like,in,1,1.7,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hzi.pdb,False,False,False,False,True,False
1077,3cs9,ABL1,Abl,TK,Human,inactive,out,in,1,2.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3cs9.pdb,False,False,False,False,True,False
1069,2hiw,ABL1,Abl,TK,Human,inactive,out,in,1,2.2,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hiw.pdb,False,False,False,False,True,False
1056,3qrk,ABL1,Abl,TK,Human,inactive,out,in,1,2.3,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3qrk.pdb,False,False,False,False,True,False
1104,1opl,ABL1,Abl,TK,Human,inactive,out-like,in,1,3.42,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/1opl.pdb,False,False,False,False,True,False
1092,2hyy,ABL1,Abl,TK,Human,inactive,out,in,1,2.4,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hyy.pdb,False,False,False,False,True,False
1101,3qrj,ABL1,Abl,TK,Human,inactive,out,in,1,1.82,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3qrj.pdb,False,False,False,False,True,False
1085,3qrj,ABL1,Abl,TK,Human,inactive,out,in,1,1.82,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3qrj.pdb,False,False,False,False,True,False
1070,3qrj,ABL1,Abl,TK,Human,inactive,out,in,1,1.82,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3qrj.pdb,False,False,False,False,True,False
1078,2hyy,ABL1,Abl,TK,Human,inactive,out,in,1,2.4,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hyy.pdb,False,False,False,False,True,False
1079,2g2f,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.7,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2g2f.pdb,False,False,False,False,True,False
1086,1opl,ABL1,Abl,TK,Human,inactive,out-like,in,1,3.42,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/1opl.pdb,False,False,False,False,True,False
1098,3pyy,ABL1,Abl,TK,Human,inactive,out,in,1,1.85,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3pyy.pdb,False,False,False,False,True,False
1080,3cs9,ABL1,Abl,TK,Human,inactive,out,in,1,2.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3cs9.pdb,False,False,False,False,True,False
1087,2hzi,ABL1,Abl,TK,Human,inactive,out-like,in,1,1.7,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hzi.pdb,False,False,False,False,True,False
1088,2v7a,ABL1,Abl,TK,Human,active,in,in,1,2.5,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2v7a.pdb,True,False,False,False,False,False
1093,3cs9,ABL1,Abl,TK,Human,inactive,out,in,1,2.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3cs9.pdb,False,False,False,False,True,False
1102,2hzi,ABL1,Abl,TK,Human,inactive,out-like,in,1,1.7,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hzi.pdb,False,False,False,False,True,False
1094,4xey,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.89,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4xey.pdb,False,False,False,False,True,False
1099,3qrj,ABL1,Abl,TK,Human,inactive,out,in,1,1.82,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3qrj.pdb,False,False,False,False,True,False
1106,2g2h,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2g2h.pdb,False,False,False,False,True,False
1108,2hzi,ABL1,Abl,TK,Human,inactive,out-like,in,1,1.7,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hzi.pdb,False,False,False,False,True,False
1100,4xey,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.89,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4xey.pdb,False,False,False,False,True,False
1103,3qri,ABL1,Abl,TK,Human,inactive,out,in,1,2.1,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3qri.pdb,False,False,False,False,True,False
1110,2hiw,ABL1,Abl,TK,Human,inactive,out,in,1,2.2,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2hiw.pdb,False,False,False,False,True,False
1111,2g2i,ABL1,Abl,TK,Human,active,in,in,1,3.12,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2g2i.pdb,True,False,False,False,False,False
1112,3cs9,ABL1,Abl,TK,Human,inactive,out,in,1,2.21,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/3cs9.pdb,False,False,False,False,True,False
6419,4yc8,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.9,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4yc8.pdb,False,False,False,False,True,False
6420,4yc8,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.9,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4yc8.pdb,False,False,False,False,True,False
6754,5hu9,ABL1,Abl,TK,Human,inactive,out,in,1,1.53,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/5hu9.pdb,False,False,False,False,True,False
6755,5hu9,ABL1,Abl,TK,Human,inactive,out,in,1,1.53,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/5hu9.pdb,False,False,False,False,True,False
7043,4zog,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.3,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4zog.pdb,False,False,False,False,True,False
7042,4zog,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.3,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/4zog.pdb,False,False,False,False,True,False
7526,5mo4,ABL1,Abl,TK,Human,inactive,out,in,1,2.17,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/5mo4.pdb,False,False,False,False,True,False
7527,5mo4,ABL1,Abl,TK,Human,inactive,out,in,1,2.17,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/5mo4.pdb,False,False,False,False,True,False
9698,6bl8,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.5,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6bl8.pdb,False,False,False,False,True,False
9699,6bl8,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.5,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6bl8.pdb,False,False,False,False,True,False
9700,6bl8,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.5,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6bl8.pdb,False,False,False,False,True,False
9701,6bl8,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.5,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6bl8.pdb,False,False,False,False,True,False
10942,6npu,ABL1,Abl,TK,Human,inactive,out,in,1,2.33,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6npu.pdb,False,False,False,False,True,False
10943,6npe,ABL1,Abl,TK,Human,inactive,out,in,1,2.15,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6npe.pdb,False,False,False,False,True,False
10944,6npu,ABL1,Abl,TK,Human,inactive,out,in,1,2.33,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6npu.pdb,False,False,False,False,True,False
10945,6npe,ABL1,Abl,TK,Human,inactive,out,in,1,2.15,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6npe.pdb,False,False,False,False,True,False
10946,6npe,ABL1,Abl,TK,Human,inactive,out,in,1,2.15,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6npe.pdb,False,False,False,False,True,False
10947,6npe,ABL1,Abl,TK,Human,inactive,out,in,1,2.15,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6npe.pdb,False,False,False,False,True,False
10948,6npv,ABL1,Abl,TK,Human,inactive,out,in,1,1.86,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6npv.pdb,False,False,False,False,True,False
10949,6npv,ABL1,Abl,TK,Human,inactive,out,in,1,1.86,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6npv.pdb,False,False,False,False,True,False
10950,6npv,ABL1,Abl,TK,Human,inactive,out,in,1,1.86,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6npv.pdb,False,False,False,False,True,False
10951,6npv,ABL1,Abl,TK,Human,inactive,out,in,1,1.86,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6npv.pdb,False,False,False,False,True,False
13620,7cc2,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.723,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/7cc2.pdb,False,False,False,False,True,False
13621,7dt2,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.3,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/7dt2.pdb,False,False,False,False,True,False
14195,7w7y,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.20003,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/7w7y.pdb,False,False,False,False,True,False
14196,7w7x,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.00001,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/7w7x.pdb,False,False,False,False,True,False
14197,7n9g,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.2,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/7n9g.pdb,False,False,False,False,True,False
14632,8h7f,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.45013,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/8h7f.pdb,False,False,False,False,True,False
14666,8h7h,ABL1,Abl,TK,Human,inactive,out-like,in,1,2.2779,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/8h7h.pdb,False,False,False,False,True,False
14878,8ssn,ABL1,Abl,TK,Human,inactive,in,out,1,2.86,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/8ssn.pdb,False,False,False,True,False,False
12859,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,False,False,False,False,True,False
12857,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,False,False,False,False,True,False
12904,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
12883,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,False,False,False,False,True,False
12892,6xr6,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr6.pdb,True,False,False,False,False,False
12861,6xr6,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr6.pdb,True,False,False,False,False,False
12915,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,False,False,False,False,True,False
12882,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
1105,2g1t,ABL1,Abl,TK,Human,inactive,in,out,0,1.8,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2g1t.pdb,False,False,False,True,False,False
12885,6xr6,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr6.pdb,True,False,False,False,False,False
12906,6xr6,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr6.pdb,True,False,False,False,False,False
12879,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,False,False,False,False,True,False
12905,6xr6,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr6.pdb,True,False,False,False,False,False
12913,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,False,False,False,False,True,False
12858,6xr6,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr6.pdb,True,False,False,False,False,False
12868,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
12886,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
12864,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
12895,6xrg,ABL1,Abl,TK,Human,inactive,out,out,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,False,False
12903,6xr7,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,False,False,False,False,True,False
12862,6xr6,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr6.pdb,True,False,False,False,False,False
12887,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
12863,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,False,False,False,False,True,False
12897,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,False,False,False,False,True,False
12911,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
12875,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
1045,2g1t,ABL1,Abl,TK,Human,inactive,in,out,0,1.8,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2g1t.pdb,False,False,False,True,False,False
1064,2g1t,ABL1,Abl,TK,Human,inactive,in,out,0,1.8,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2g1t.pdb,False,False,False,True,False,False
12869,6xr6,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr6.pdb,True,False,False,False,False,False
12899,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
12884,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
12890,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
12893,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
12900,6xr7,ABL1,Abl,TK,Human,inactive,out-like,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,False,False,False,False,True,False
12912,6xr6,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr6.pdb,True,False,False,False,False,False
12881,6xr6,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr6.pdb,True,False,False,False,False,False
12866,6xr7,ABL1,Abl,TK,Human,active,in,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xr7.pdb,True,False,False,False,False,False
12877,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
1096,2g1t,ABL1,Abl,TK,Human,inactive,in,out,0,1.8,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/2g1t.pdb,False,False,False,True,False,False
12876,6xrg,ABL1,Abl,TK,Human,inactive,out,in,0,0.0,/Users/josefinadehan/tp_vision_avanzada/TPF_Vision_Avanzada/data/raw/pdbs/6xrg.pdb,False,False,False,False,True,False
